"gene","statistic","estimate","p_value","method"
"ANKRD36BP1","947547.201264314","-0.15723182108599","0.0405912318400549","Spearman's rank correlation rho"
"ASH1L","885489.261276554","-0.161518270722371","0.0376207434504945","Spearman's rank correlation rho"
"ATP1B1","929047.459070414","-0.175646330842644","0.0227639092490009","Spearman's rank correlation rho"
"CELSR2","943463.333089783","-0.172820015277439","0.024645137066508","Spearman's rank correlation rho"
"DCST1","945320.338481961","-0.154512171374089","0.0442381816305573","Spearman's rank correlation rho"
"FGGY","789793.511537966","-0.156969283279571","0.0474501862494658","Spearman's rank correlation rho"
"FOXD2","1004010.22031997","-0.226189654826199","0.00301768814813859","Spearman's rank correlation rho"
"GNG4","931046.209851163","-0.199467944297931","0.00975606927986893","Spearman's rank correlation rho"
"GNRHR2","992915.126406038","-0.212639305336482","0.00537042057845358","Spearman's rank correlation rho"
"KCNH1","913093.756869717","-0.197727773635271","0.0106629075150314","Spearman's rank correlation rho"
"OR14C36","951690.607363359","-0.162292129827442","0.0344762546695267","Spearman's rank correlation rho"
"PHLDA3","883496.211027525","-0.158903937178251","0.0408671720027659","Spearman's rank correlation rho"
"SAMD13","884354.640957143","-0.160029961051142","0.0394411496884481","Spearman's rank correlation rho"
"SNORA14B","954040.433167667","-0.207273238604364","0.00702090397261331","Spearman's rank correlation rho"
"SPATA1","935603.728527538","-0.163049734632213","0.0341657138285915","Spearman's rank correlation rho"
"TAF12","973788.366017383","-0.189279945795864","0.0134325967492381","Spearman's rank correlation rho"
"VANGL2","896630.113600678","-0.176132003595015","0.0232118185406237","Spearman's rank correlation rho"
"VASH2","943860.887633038","-0.215977108991619","0.00505921656673159","Spearman's rank correlation rho"
"ZBTB8OS","927517.953116132","-0.173710845151791","0.0243293424707653","Spearman's rank correlation rho"
"ACTA2","977904.53058345","-0.237471629754165","0.0019387112936228","Spearman's rank correlation rho"
"BMPR1A","909174.296217996","-0.192586519689641","0.0129235041315937","Spearman's rank correlation rho"
"CDK1","1003337.92981495","-0.225368591807514","0.00312792853877278","Spearman's rank correlation rho"
"CDNF","958601.609807141","-0.170732481857269","0.026012476601239","Spearman's rank correlation rho"
"HMX2","981584.300526421","-0.19880105828179","0.00935179741433625","Spearman's rank correlation rho"
"HMX3","950886.489525911","-0.161310067141641","0.0355978701758404","Spearman's rank correlation rho"
"PRKG1","841138.612297625","-0.187108255037498","0.01711848148542","Spearman's rank correlation rho"
"PTCHD3","885941.158814027","-0.183369164659561","0.0183965374261724","Spearman's rank correlation rho"
