"gene","statistic","estimate","p_value","method"
"ABCA4","613165.073166228","0.195696134784677","0.0115108190403441","Spearman's rank correlation rho"
"ABCD3","632882.093786012","0.16983282881858","0.028704204888026","Spearman's rank correlation rho"
"ACTL8","606704.201284001","0.204171021002026","0.00832649446239924","Spearman's rank correlation rho"
"ADAMTS4","665958.169179476","0.172146873378404","0.025218780083522","Spearman's rank correlation rho"
"AGT","633825.326200504","0.168595567418717","0.0299042938477943","Spearman's rank correlation rho"
"AKR1A1","668973.242227937","0.182988327833932","0.0169184020638979","Spearman's rank correlation rho"
"ALG14","632866.583742174","0.169853173728547","0.0286848197574095","Spearman's rank correlation rho"
"ALPL","631808.032668311","0.171241701479873","0.027387930445","Spearman's rank correlation rho"
"AMPD1","669149.413756291","0.16817983472193","0.0288372697094428","Spearman's rank correlation rho"
"AMPD2","637715.202024192","0.20725572817837","0.00685619071382894","Spearman's rank correlation rho"
"APOA2","690110.433652198","0.157173644943304","0.040666514792038","Spearman's rank correlation rho"
"ARHGEF2","646134.446925741","0.182360831685225","0.0179866356197408","Spearman's rank correlation rho"
"ASAP3","667735.246660716","0.155026489716193","0.0448009811219297","Spearman's rank correlation rho"
"ATP1A2","634055.795790477","0.168293254729782","0.0302039368082316","Spearman's rank correlation rho"
"B4GALT3","623629.527561042","0.224765641239816","0.00330385822102982","Spearman's rank correlation rho"
"BATF3","663800.263372424","0.174829367793217","0.0229989477549006","Spearman's rank correlation rho"
"BCL9","652699.433511488","0.174053287957279","0.024045822262094","Spearman's rank correlation rho"
"BGLAP","691784.828179349","0.155128720294394","0.0433882468478072","Spearman's rank correlation rho"
"BSDC1","664712.800710081","0.188191570996659","0.0139863310373265","Spearman's rank correlation rho"
"C1orf116","664104.457668672","0.159621006083347","0.0387578713622437","Spearman's rank correlation rho"
"C1orf174","635846.65380652","0.223445565419703","0.00340049736549706","Spearman's rank correlation rho"
"C1orf226","633548.671909925","0.198287273411851","0.00997935515529403","Spearman's rank correlation rho"
"C1orf52","694430.442986954","0.151897652082053","0.0479986477495671","Spearman's rank correlation rho"
"C1QB","621664.364631635","0.227208536831044","0.00297080596717435","Spearman's rank correlation rho"
"C1QC","671536.10875497","0.165212932282122","0.0318250082097571","Spearman's rank correlation rho"
"C2CD4D","643643.11947437","0.213923804233768","0.00509210688851186","Spearman's rank correlation rho"
"C4BPB","674732.686483919","0.175954364611942","0.0217231186304752","Spearman's rank correlation rho"
"CAMK2N1","649583.183978841","0.177996689656813","0.0209802006351992","Spearman's rank correlation rho"
"CD1A","654102.405553561","0.201149961769212","0.00853183411578942","Spearman's rank correlation rho"
"CD1C","641604.558839119","0.202420865646762","0.00830722397043871","Spearman's rank correlation rho"
"CD34","653376.055618161","0.173197068730467","0.0247600992016856","Spearman's rank correlation rho"
"CD48","571055.092579936","0.264309042096613","0.000557357212355268","Spearman's rank correlation rho"
"CD5L","642282.762386175","0.187234876334177","0.0150882275508223","Spearman's rank correlation rho"
"CDC20","663997.198842612","0.174584557154527","0.0231943103633855","Spearman's rank correlation rho"
"CDC42SE1","681924.241644507","0.167171375792152","0.0293373512611885","Spearman's rank correlation rho"
"CDK11A","603808.938353007","0.235920882217382","0.00207954358424857","Spearman's rank correlation rho"
"CHI3L1","693060.806657175","0.153570377981113","0.0455633316457067","Spearman's rank correlation rho"
"CLCA4","655569.831796281","0.170420994279892","0.0272025445487542","Spearman's rank correlation rho"
"CLCN6","660968.783197172","0.192764109651051","0.0117869642571057","Spearman's rank correlation rho"
"CNKSR1","628718.910632927","0.232150621169965","0.00231699164109457","Spearman's rank correlation rho"
"CNN3","591161.126052967","0.23840641515639","0.00191820746615518","Spearman's rank correlation rho"
"CNR2","662804.951624427","0.190521611831356","0.0128244031108431","Spearman's rank correlation rho"
"CR2","635430.235225794","0.181374468929017","0.0189883212646776","Spearman's rank correlation rho"
"CRABP2","671059.168960108","0.180440802193309","0.0185394830589942","Spearman's rank correlation rho"
"CRTC2","644513.233788248","0.184412366575073","0.0167124956013301","Spearman's rank correlation rho"
"CSF1","567467.159179014","0.268931380982853","0.000441039867748701","Spearman's rank correlation rho"
"CSRP1","617123.194478831","0.219072597224616","0.00433023365123546","Spearman's rank correlation rho"
"CYB5R1","635406.337306328","0.166521715858979","0.0320116847525325","Spearman's rank correlation rho"
"DAB1","493166.227797236","0.220549338879999","0.00566340511500771","Spearman's rank correlation rho"
"DENND4B","687145.5880591","0.160794587161657","0.0361988451063619","Spearman's rank correlation rho"
"DEPDC1","639938.319099765","0.204492169584101","0.00765519972557008","Spearman's rank correlation rho"
"DFFB","648794.819849247","0.207632073754744","0.00658982717062363","Spearman's rank correlation rho"
"DMAP1","663149.433327406","0.175638415136733","0.0223633572938157","Spearman's rank correlation rho"
"DMBX1","659215.790990243","0.19490502501787","0.0108660993330468","Spearman's rank correlation rho"
"DPM3","664755.177876908","0.188139816101626","0.0140131527067699","Spearman's rank correlation rho"
"DPT","667694.172176902","0.169988846679799","0.027135668739662","Spearman's rank correlation rho"
"DYRK3","616538.557080416","0.191271052094606","0.0135654561714496","Spearman's rank correlation rho"
"ECE1","597630.38139786","0.1870412289012","0.01647681226949","Spearman's rank correlation rho"
"EGLN1","579819.091477805","0.239436887699556","0.00189035228193976","Spearman's rank correlation rho"
"ELAVL4","611918.87101054","0.211664187532156","0.00603373035592107","Spearman's rank correlation rho"
"ENSA","670923.284225854","0.180606757132829","0.0184299210680002","Spearman's rank correlation rho"
"EXOC8","687333.708379629","0.160564837318251","0.0364694487782123","Spearman's rank correlation rho"
"F5","605260.246946572","0.220242500867578","0.00423658691943876","Spearman's rank correlation rho"
"FAM151A","638313.832871641","0.177659526637378","0.0216229749948443","Spearman's rank correlation rho"
"FAM163A","5138817.37309043","0.17247918473816","0.00155563107532156","Spearman's rank correlation rho"
"FAM43B","640111.193039732","0.218237317749974","0.00424955724910383","Spearman's rank correlation rho"
"FAM89A","682932.903526407","0.151045567691304","0.0499629745648553","Spearman's rank correlation rho"
"FASLG","690756.76383404","0.156384287059752","0.0416996305912441","Spearman's rank correlation rho"
"FBXO44","631922.69601763","0.20034483524376","0.00921878633872039","Spearman's rank correlation rho"
"FCER1A","675101.151002691","0.160781225445414","0.0367753898587797","Spearman's rank correlation rho"
"FCGR3A","558173.408164","0.212243676742017","0.00669864818662964","Spearman's rank correlation rho"
"FHL3","629759.151453973","0.230880183372143","0.00245256382145032","Spearman's rank correlation rho"
"FMOD","680194.437350696","0.154449757159396","0.0449638491541626","Spearman's rank correlation rho"
"FNDC7","648208.424955023","0.16491231183714","0.0331935889065323","Spearman's rank correlation rho"
"GABRD","689954.742594653","0.157363789187104","0.0404208922106534","Spearman's rank correlation rho"
"GBP1","636992.004638695","0.222046757605663","0.00361203395081968","Spearman's rank correlation rho"
